 GPS_altitude, GPS_speed (m/s),Sample Time Delta (s),Throttle Val Raw,Motor 1 Raw,Motor 2 Raw,Motor 3 Raw,Motor 4 Raw,Throttle Value (%),Motor 1 Output (%),Motor 2 Output (%),Motor 3 Output (%),Motor 4 Output (%),Acceleration (m/s),Distance btwn pts
71,61.56,0.110231,1965,1991,1907,1986,2017,96.5,97.2642892,93.16072301,97.02002931,98.53444064,15.69431467,6.78582036
72,63.69,0.209955,1552,1088,1036,1177,1243,55.2,53.15095261,50.61064973,57.4987787,60.72300928,10.14503108,13.37203395
73,64.74,0.199955,1361,189,695,1044,1063,36.1,9.233023937,33.95212506,51.00146556,51.92965315,5.251181516,12.9450867
75,60.12,0.200309,1472,144,1201,1332,1221,47.2,7.034684905,58.67122618,65.07083537,59.64826575,-23.06436556,12.04257708
76,54.55,0.280239,1570,717,1196,1531,1247,57,35.02686859,58.42696629,74.79237909,60.9184172,-19.87589165,15.28703745
77,48.32,0.11032,1580,822,1415,1353,1181,58,40.15632633,69.12554958,66.09672692,57.69418661,-56.47208122,5.3306624
78,42.73,0.209931,1618,894,1542,1483,1161,61.8,43.67366878,75.32975085,72.44748412,56.71714704,-26.62779675,8.97035163
129,44.25,0.19997,2000,1964,1898,1989,2044,100,95.94528578,92.7210552,97.16658525,99.85344406,41.65624844,8.8486725
127,51.16,0.20053,2000,1920,1837,2002,2034,100,93.79579873,89.74108451,97.80166097,99.36492428,34.45868449,10.2591148
125,56.07,0.29055,2000,1955,1899,1993,2046,100,95.50561798,92.76990718,97.36199316,99.95114802,16.89898468,16.2911385
123,59.07,0.109701,2000,1979,1912,2001,2039,100,96.67806546,93.4049829,97.75280899,99.60918417,27.34706156,6.48003807
120,61.4,0.200666,2000,1961,1897,2010,2037,100,95.79872985,92.67220322,98.1924768,99.51148021,11.61133426,12.3208924
118,63.24,0.200261,2000,1934,1836,1973,2038,100,94.47972643,89.69223254,96.38495359,99.56033219,9.188009647,12.66450564
116,64.42,0.200097,2000,1985,1908,2002,2035,100,96.97117733,93.20957499,97.80166097,99.41377626,5.897139887,12.89024874
114,64.79,0.290462,2000,1937,1882,1983,2047,100,94.62628236,91.93942355,96.87347338,100,1.273832722,18.81903298
113,65.25,0.110053,2000,1940,1856,1990,2037,100,94.7728383,90.66927211,97.21543723,99.51148021,4.179804276,7.18095825
111,65.41,0.200437,2000,1977,1905,1978,2045,100,96.5803615,93.06301905,96.62921348,99.90229604,0.798255811,13.11058417
